date,nhs_name,sgtf,other,perc,t,n
2020-11-01,Midlands,14,591,0.023140495867768594,32,605
2020-11-01,North East and Yorkshire,72,3101,0.02269145918688938,32,3173
2020-11-01,North West,32,2372,0.013311148086522463,32,2404
2020-11-01,South East,84,424,0.16535433070866143,32,508
2020-11-01,South West,13,248,0.04980842911877394,32,261
2020-11-02,East of England,44,730,0.056847545219638244,33,774
2020-11-02,London,144,1905,0.07027818448023426,33,2049
2020-11-02,Midlands,81,3588,0.022076860179885527,33,3669
2020-11-02,North East and Yorkshire,90,4790,0.018442622950819672,33,4880
2020-11-02,North West,50,4419,0.011188185276348177,33,4469
2020-11-02,South East,197,1260,0.13520933424845574,33,1457
2020-11-02,South West,26,451,0.05450733752620545,33,477
2020-11-03,East of England,28,527,0.05045045045045045,34,555
2020-11-03,London,111,1293,0.07905982905982906,34,1404
2020-11-03,Midlands,60,2782,0.0211118930330753,34,2842
2020-11-03,North East and Yorkshire,87,4138,0.02059171597633136,34,4225
2020-11-03,North West,32,3183,0.009953343701399688,34,3215
2020-11-03,South East,121,825,0.12790697674418605,34,946
2020-11-03,South West,5,214,0.0228310502283105,34,219
2020-11-04,East of England,31,473,0.061507936507936505,35,504
2020-11-04,London,115,1222,0.08601346297681377,35,1337
2020-11-04,Midlands,49,2123,0.02255985267034991,35,2172
2020-11-04,North East and Yorkshire,66,3792,0.017107309486780714,35,3858
2020-11-04,North West,35,2877,0.01201923076923077,35,2912
2020-11-04,South East,147,806,0.15424973767051417,35,953
2020-11-04,South West,12,191,0.059113300492610835,35,203
2020-11-05,East of England,40,430,0.0851063829787234,36,470
2020-11-05,London,110,1036,0.09598603839441536,36,1146
2020-11-05,Midlands,59,2431,0.023694779116465864,36,2490
2020-11-05,North East and Yorkshire,96,3889,0.02409033877038896,36,3985
2020-11-05,North West,34,2918,0.011517615176151762,36,2952
2020-11-05,South East,126,628,0.16710875331564987,36,754
2020-11-05,South West,13,233,0.052845528455284556,36,246
2020-11-06,East of England,36,464,0.072,37,500
2020-11-06,London,133,1261,0.09540889526542325,37,1394
2020-11-06,Midlands,51,2548,0.019622931896883418,37,2599
2020-11-06,North East and Yorkshire,83,3860,0.021049961957900078,37,3943
2020-11-06,North West,21,2200,0.00945520036019811,37,2221
2020-11-06,South East,146,792,0.15565031982942432,37,938
2020-11-06,South West,14,183,0.07106598984771574,37,197
2020-11-07,East of England,25,300,0.07692307692307693,38,325
2020-11-07,London,73,602,0.10814814814814815,38,675
2020-11-07,Midlands,38,1947,0.019143576826196475,38,1985
2020-11-07,North East and Yorkshire,68,3416,0.01951779563719862,38,3484
2020-11-07,North West,24,2099,0.011304757418747056,38,2123
2020-11-07,South East,119,562,0.17474302496328928,38,681
2020-11-07,South West,8,87,0.08421052631578947,38,95
2020-11-08,East of England,65,453,0.12548262548262548,39,518
2020-11-08,London,125,1020,0.1091703056768559,39,1145
2020-11-08,Midlands,62,2173,0.02774049217002237,39,2235
2020-11-08,North East and Yorkshire,93,3366,0.026886383347788378,39,3459
2020-11-08,North West,29,2298,0.012462397937258273,39,2327
2020-11-08,South East,239,1138,0.17356572258533043,39,1377
2020-11-08,South West,56,760,0.06862745098039216,39,816
2020-11-09,East of England,61,517,0.10553633217993079,40,578
2020-11-09,London,207,1557,0.11734693877551021,40,1764
2020-11-09,Midlands,68,2817,0.023570190641247834,40,2885
2020-11-09,North East and Yorkshire,126,5040,0.024390243902439025,40,5166
2020-11-09,North West,36,3283,0.01084664055438385,40,3319
2020-11-09,South East,270,938,0.22350993377483444,40,1208
2020-11-09,South West,15,250,0.05660377358490566,40,265
2020-11-10,East of England,55,323,0.1455026455026455,41,378
2020-11-10,London,165,1054,0.13535684987694832,41,1219
2020-11-10,Midlands,82,2539,0.03128576879053796,41,2621
2020-11-10,North East and Yorkshire,95,4113,0.022576045627376425,41,4208
2020-11-10,North West,23,2649,0.008607784431137725,41,2672
2020-11-10,South East,244,1054,0.18798151001540833,41,1298
2020-11-10,South West,61,829,0.06853932584269663,41,890
2020-11-11,East of England,91,577,0.13622754491017963,42,668
2020-11-11,London,223,1535,0.12684869169510807,42,1758
2020-11-11,Midlands,93,2842,0.031686541737649065,42,2935
2020-11-11,North East and Yorkshire,100,4228,0.02310536044362292,42,4328
2020-11-11,North West,32,2635,0.011998500187476566,42,2667
2020-11-11,South East,350,944,0.2704791344667697,42,1294
2020-11-11,South West,18,380,0.04522613065326633,42,398
2020-11-12,East of England,71,454,0.13523809523809524,43,525
2020-11-12,London,220,1262,0.1484480431848853,43,1482
2020-11-12,Midlands,48,2491,0.018905080740448995,43,2539
2020-11-12,North East and Yorkshire,73,3731,0.019190325972660356,43,3804
2020-11-12,North West,28,2321,0.011919965942954448,43,2349
2020-11-12,South East,337,923,0.26746031746031745,43,1260
2020-11-12,South West,31,579,0.05081967213114754,43,610
2020-11-13,East of England,80,443,0.15296367112810708,44,523
2020-11-13,London,218,1091,0.16653934300993126,44,1309
2020-11-13,Midlands,46,2240,0.020122484689413824,44,2286
2020-11-13,North East and Yorkshire,97,3549,0.026604498080087767,44,3646
2020-11-13,North West,28,2177,0.012698412698412698,44,2205
2020-11-13,South East,294,1022,0.22340425531914893,44,1316
2020-11-13,South West,48,686,0.0653950953678474,44,734
2020-11-14,East of England,43,403,0.09641255605381166,45,446
2020-11-14,London,186,949,0.16387665198237886,45,1135
2020-11-14,Midlands,54,2121,0.02482758620689655,45,2175
2020-11-14,North East and Yorkshire,72,2855,0.02459856508370345,45,2927
2020-11-14,North West,31,1743,0.017474633596392335,45,1774
2020-11-14,South East,249,806,0.23601895734597156,45,1055
2020-11-14,South West,33,576,0.054187192118226604,45,609
